person_a,person_b,date,time
29,25,21/04/2004,00:34:43
30,31,21/04/2004,04:18:26
30,31,21/04/2004,04:18:31
30,31,21/04/2004,04:18:33
30,31,21/04/2004,04:18:36
32,33,21/04/2004,04:27:03
34,35,21/04/2004,06:32:10
34,33,21/04/2004,06:35:18
36,37,21/04/2004,08:02:29
38,39,21/04/2004,10:14:09
36,40,21/04/2004,10:25:57
41,15,21/04/2004,10:38:25
41,11,21/04/2004,10:39:14
41,14,21/04/2004,10:41:02
41,13,21/04/2004,10:41:36
41,39,21/04/2004,10:57:22
41,42,21/04/2004,20:03:31
41,43,21/04/2004,20:39:04
9,40,21/04/2004,22:41:40
44,45,21/04/2004,23:11:08
46,22,21/04/2004,23:48:25
44,46,21/04/2004,23:57:02
47,46,22/04/2004,00:01:48
48,46,22/04/2004,00:18:03
9,49,22/04/2004,02:15:55
36,50,22/04/2004,02:35:15
44,51,22/04/2004,02:35:51
32,52,22/04/2004,02:40:56
36,32,22/04/2004,02:42:02
53,54,22/04/2004,02:46:35
36,55,22/04/2004,02:49:05
56,57,22/04/2004,02:49:08
36,32,22/04/2004,02:51:25
36,58,22/04/2004,02:52:45
44,59,22/04/2004,02:55:20
51,58,22/04/2004,02:55:34
44,14,22/04/2004,02:57:52
36,56,22/04/2004,03:02:56
36,60,22/04/2004,03:08:37
56,61,22/04/2004,03:14:28
62,50,22/04/2004,03:20:09
36,60,22/04/2004,03:26:27
32,59,22/04/2004,03:37:35
36,60,22/04/2004,03:44:32
36,50,22/04/2004,03:45:13
41,63,22/04/2004,03:56:59
41,64,22/04/2004,03:57:48
41,65,22/04/2004,03:58:02
41,56,22/04/2004,03:58:20
41,61,22/04/2004,03:59:21
41,43,22/04/2004,03:59:38
41,52,22/04/2004,04:00:07
41,58,22/04/2004,04:00:38
41,59,22/04/2004,04:04:28
9,64,22/04/2004,04:05:24
9,58,22/04/2004,04:06:19
12,66,22/04/2004,04:06:59
32,58,22/04/2004,04:07:46
12,66,22/04/2004,04:07:48
67,32,22/04/2004,04:11:54
41,32,22/04/2004,04:12:51
67,32,22/04/2004,04:14:09
32,68,22/04/2004,04:14:41
68,56,22/04/2004,04:17:30
67,32,22/04/2004,04:17:48
67,32,22/04/2004,04:19:59
68,61,22/04/2004,04:20:18
67,32,22/04/2004,04:21:19
67,8,22/04/2004,04:31:36
69,67,22/04/2004,04:43:10
70,51,22/04/2004,05:12:47
44,50,22/04/2004,05:14:49
67,32,22/04/2004,05:32:34
71,58,22/04/2004,05:33:25
71,72,22/04/2004,05:34:41
51,58,22/04/2004,05:35:09
72,71,22/04/2004,05:47:29
73,74,22/04/2004,05:54:09
74,73,22/04/2004,05:55:19
73,74,22/04/2004,05:58:33
74,73,22/04/2004,05:59:32
34,58,22/04/2004,06:01:54
44,75,22/04/2004,06:01:57
44,75,22/04/2004,06:04:01
9,58,22/04/2004,06:04:54
73,74,22/04/2004,06:05:32
9,76,22/04/2004,06:05:39
32,77,22/04/2004,06:22:06
41,76,22/04/2004,06:35:06
41,78,22/04/2004,06:35:22
79,48,22/04/2004,06:41:34
79,63,22/04/2004,06:42:15
41,80,22/04/2004,06:43:38
79,58,22/04/2004,06:44:24
41,81,22/04/2004,06:44:32
79,70,22/04/2004,06:49:07
19,82,22/04/2004,06:56:11
19,72,22/04/2004,06:57:24
12,32,22/04/2004,06:57:46
19,64,22/04/2004,07:05:10
19,58,22/04/2004,07:07:10
19,58,22/04/2004,07:07:15
19,58,22/04/2004,07:07:17
19,52,22/04/2004,07:13:08
83,59,22/04/2004,07:14:20
51,70,22/04/2004,07:14:37
38,58,22/04/2004,07:20:31
41,58,22/04/2004,07:40:43
63,79,22/04/2004,07:41:25
41,63,22/04/2004,07:41:33
67,59,22/04/2004,07:45:59
41,63,22/04/2004,07:52:15
41,58,22/04/2004,07:58:22
44,84,22/04/2004,08:07:46
19,85,22/04/2004,08:16:46
19,72,22/04/2004,08:18:14
3,84,22/04/2004,08:30:42
19,8,22/04/2004,08:33:16
19,58,22/04/2004,08:34:31
84,86,22/04/2004,08:43:53
83,58,22/04/2004,08:46:43
36,60,22/04/2004,08:47:12
86,48,22/04/2004,08:50:31
87,63,22/04/2004,08:55:09
36,88,22/04/2004,08:58:09
87,8,22/04/2004,09:02:30
36,89,22/04/2004,09:09:43
90,56,22/04/2004,09:10:02
36,90,22/04/2004,09:10:59
36,84,22/04/2004,09:11:58
91,92,22/04/2004,09:12:55
36,93,22/04/2004,09:16:00
91,92,22/04/2004,09:17:05
36,90,22/04/2004,09:17:21
91,92,22/04/2004,09:19:41
36,60,22/04/2004,09:23:21
36,84,22/04/2004,09:31:32
51,58,22/04/2004,09:33:32
94,84,22/04/2004,09:35:04
36,84,22/04/2004,09:41:10
94,84,22/04/2004,09:41:29
94,84,22/04/2004,09:47:44
69,84,22/04/2004,09:49:24
69,95,22/04/2004,09:49:55
87,8,22/04/2004,09:54:20
3,84,22/04/2004,10:00:49
3,84,22/04/2004,10:04:56
48,86,22/04/2004,10:13:37
84,8,22/04/2004,10:31:27
91,81,22/04/2004,10:47:02
96,88,22/04/2004,10:49:55
8,84,22/04/2004,11:06:13
84,8,22/04/2004,11:21:30
91,47,22/04/2004,11:26:13
97,98,22/04/2004,11:37:02
98,97,22/04/2004,11:39:36
97,98,22/04/2004,11:40:11
48,97,22/04/2004,11:42:00
99,8,22/04/2004,11:47:12
99,8,22/04/2004,11:47:26
97,48,22/04/2004,11:49:36
100,101,22/04/2004,11:53:13
102,97,22/04/2004,11:54:49
97,48,22/04/2004,12:00:00
97,102,22/04/2004,12:00:11
101,100,22/04/2004,12:06:13
48,58,22/04/2004,12:07:14
97,48,22/04/2004,12:07:43
103,72,22/04/2004,12:58:04
103,58,22/04/2004,13:04:05
104,59,22/04/2004,13:39:48
104,59,22/04/2004,13:39:57
103,72,22/04/2004,14:21:48
105,56,22/04/2004,18:05:16
106,72,22/04/2004,18:08:03
105,61,22/04/2004,18:12:46
105,8,22/04/2004,18:14:11
105,33,22/04/2004,18:21:43
105,107,22/04/2004,18:26:57
105,81,22/04/2004,18:34:10
44,102,22/04/2004,18:47:51
36,105,22/04/2004,19:41:57
36,104,22/04/2004,19:51:35
34,108,22/04/2004,19:56:19
34,109,22/04/2004,20:05:43
36,110,22/04/2004,20:09:00
111,112,22/04/2004,20:19:13
34,58,22/04/2004,20:34:21
36,113,22/04/2004,20:38:36
36,109,22/04/2004,20:39:00
79,109,22/04/2004,20:51:47
114,105,22/04/2004,20:54:36
101,115,22/04/2004,20:56:13
56,90,22/04/2004,21:09:35
56,105,22/04/2004,21:10:09
56,68,22/04/2004,21:10:51
29,58,22/04/2004,21:32:50
87,58,22/04/2004,21:36:50
44,116,22/04/2004,21:45:06
44,117,22/04/2004,21:54:40
44,117,22/04/2004,21:55:12
44,79,22/04/2004,22:03:59
80,58,22/04/2004,22:10:59
96,32,22/04/2004,22:30:30
118,100,22/04/2004,22:45:52
119,120,22/04/2004,22:51:28
119,120,22/04/2004,22:51:44
120,119,22/04/2004,22:52:55
120,75,22/04/2004,22:54:10
119,120,22/04/2004,22:55:49
120,119,22/04/2004,22:56:12
119,58,22/04/2004,22:57:28
74,73,22/04/2004,23:03:21
118,120,22/04/2004,23:13:16
121,108,22/04/2004,23:21:26
72,106,22/04/2004,23:25:10
44,92,22/04/2004,23:38:51
26,122,22/04/2004,23:45:46
44,79,23/04/2004,00:10:28
1,123,23/04/2004,00:23:42
96,124,23/04/2004,00:44:06
125,126,23/04/2004,00:45:32
36,104,23/04/2004,01:04:24
44,79,23/04/2004,01:30:18
44,79,23/04/2004,01:41:00
36,124,23/04/2004,01:43:18
36,127,23/04/2004,01:53:48
36,128,23/04/2004,01:54:39
44,79,23/04/2004,01:58:32
44,129,23/04/2004,02:00:26
44,116,23/04/2004,02:03:09
9,120,23/04/2004,02:05:32
79,58,23/04/2004,02:12:11
36,109,23/04/2004,02:30:46
124,109,23/04/2004,02:32:54
36,109,23/04/2004,02:35:46
124,61,23/04/2004,02:37:02
124,72,23/04/2004,02:40:24
36,109,23/04/2004,02:48:47
36,112,23/04/2004,02:54:28
124,85,23/04/2004,02:58:31
85,124,23/04/2004,03:00:25
32,130,23/04/2004,03:01:31
36,112,23/04/2004,03:02:05
124,85,23/04/2004,03:02:48
72,124,23/04/2004,03:17:36
124,8,23/04/2004,03:21:53
131,30,23/04/2004,03:27:21
99,126,23/04/2004,03:40:25
103,72,23/04/2004,03:46:44
103,72,23/04/2004,03:52:45
103,63,23/04/2004,03:57:22
103,117,23/04/2004,03:58:59
103,72,23/04/2004,04:05:23
131,30,23/04/2004,04:38:16
69,95,23/04/2004,04:49:46
69,124,23/04/2004,04:50:04
69,79,23/04/2004,04:50:15
132,30,23/04/2004,04:50:34
36,99,23/04/2004,04:56:07
36,133,23/04/2004,04:56:52
36,60,23/04/2004,04:57:34
36,134,23/04/2004,05:00:56
36,133,23/04/2004,05:02:09
36,81,23/04/2004,05:04:42
103,72,23/04/2004,05:09:19
103,135,23/04/2004,05:13:00
133,135,23/04/2004,05:14:24
135,133,23/04/2004,05:15:05
36,133,23/04/2004,05:15:15
103,135,23/04/2004,05:15:27
19,52,23/04/2004,05:19:10
133,135,23/04/2004,05:19:18
103,135,23/04/2004,05:20:26
103,135,23/04/2004,05:21:14
135,133,23/04/2004,05:21:20
133,135,23/04/2004,05:22:24
36,133,23/04/2004,05:22:38
36,133,23/04/2004,05:30:12
36,133,23/04/2004,05:43:29
9,109,23/04/2004,06:17:52
9,109,23/04/2004,06:34:26
62,136,23/04/2004,06:51:04
96,32,23/04/2004,07:00:12
137,138,23/04/2004,07:17:37
96,137,23/04/2004,07:20:56
19,120,23/04/2004,07:24:19
44,90,23/04/2004,07:24:30
96,137,23/04/2004,07:24:44
137,138,23/04/2004,07:24:53
19,139,23/04/2004,07:31:43
44,60,23/04/2004,07:40:54
44,88,23/04/2004,07:42:26
44,102,23/04/2004,07:43:37
44,90,23/04/2004,07:44:30
19,111,23/04/2004,07:44:39
44,90,23/04/2004,07:48:05
9,32,23/04/2004,07:48:29
44,90,23/04/2004,07:50:58
44,90,23/04/2004,07:53:49
103,63,23/04/2004,07:57:22
103,72,23/04/2004,07:58:09
38,86,23/04/2004,07:59:00
140,105,23/04/2004,07:59:37
